Source_Image,Object_Type,Confidence,Is_Evidence_Class,Box
2,bed,0.9007524847984314,False,"[252, 109, 926, 467]"
2,book,0.055519893765449524,True,"[286, 423, 349, 484]"
2,remote,0.04250406473875046,False,"[458, 661, 532, 738]"
2,handbag,0.024100324138998985,True,"[751, 540, 797, 589]"
2,bowl,0.021914755925536156,False,"[215, 415, 276, 470]"
2,bottle,0.016479896381497383,True,"[191, 461, 256, 546]"
2,handbag,0.015977006405591965,True,"[834, 481, 1024, 686]"
2,clock,0.014567640610039234,False,"[411, 532, 441, 561]"
2,remote,0.01315209362655878,False,"[283, 419, 302, 439]"
2,umbrella,0.012046263553202152,False,"[762, 479, 1024, 762]"
2,book,0.011791819706559181,True,"[205, 471, 289, 568]"
2,refrigerator,0.011725610122084618,False,"[1167, 383, 1364, 760]"
2,cup,0.011151446029543877,True,"[623, 508, 650, 541]"
2,tv,0.010497002862393856,False,"[0, 98, 205, 644]"
2,cell phone,0.009286929853260517,True,"[312, 505, 338, 540]"
2,remote,0.008943269960582256,False,"[310, 491, 342, 501]"
2,book,0.008205198682844639,True,"[189, 462, 255, 548]"
2,cell phone,0.008076510392129421,True,"[299, 549, 328, 581]"
2,cell phone,0.008059932850301266,True,"[397, 631, 441, 677]"
2,bed,0.00717764301225543,False,"[762, 479, 1024, 762]"
2,book,0.006695070303976536,True,"[246, 486, 317, 577]"
2,vase,0.0059565044939517975,False,"[193, 460, 256, 542]"
2,bed,0.005698810331523418,False,"[441, 491, 790, 757]"
2,remote,0.005229221191257238,False,"[1034, 431, 1067, 469]"
2,cup,0.004201625473797321,True,"[195, 460, 257, 533]"
2,remote,0.004129490815103054,False,"[1070, 637, 1099, 667]"
2,umbrella,0.0039272792637348175,False,"[441, 490, 789, 757]"
2,cell phone,0.0037753095384687185,True,"[308, 489, 342, 502]"
2,vase,0.0032394686713814735,False,"[193, 461, 232, 524]"
2,cell phone,0.0031614915933459997,True,"[1034, 431, 1068, 469]"
2,remote,0.0027798486407846212,False,"[300, 547, 328, 581]"
2,handbag,0.0027533036191016436,True,"[440, 490, 788, 757]"
2,bed,0.002743386896327138,False,"[0, 99, 213, 752]"
2,spoon,0.002636297605931759,False,"[200, 381, 255, 457]"
2,hair drier,0.0026276158168911934,False,"[458, 661, 532, 739]"
2,spoon,0.002372107235714793,False,"[391, 537, 414, 565]"
2,book,0.0022243582643568516,True,"[1035, 431, 1067, 469]"
2,bed,0.002213266445323825,False,"[198, 107, 1180, 755]"
2,cup,0.0022063376381993294,True,"[282, 417, 303, 440]"
2,dining table,0.001957458443939686,False,"[183, 408, 363, 586]"
2,scissors,0.0017316079465672374,True,"[390, 537, 415, 579]"
2,bottle,0.001720323576591909,True,"[622, 500, 650, 541]"
2,cup,0.0016537554329261184,True,"[382, 580, 424, 620]"
2,scissors,0.001652227365411818,True,"[199, 380, 255, 456]"
2,vase,0.0014797912444919348,False,"[192, 412, 278, 524]"
2,book,0.0014558446127921343,True,"[184, 420, 322, 580]"
2,remote,0.0013639071257784963,False,"[399, 631, 442, 678]"
2,book,0.0013629398308694363,True,"[1031, 592, 1070, 627]"
2,refrigerator,0.0012075153645128012,False,"[0, 100, 214, 751]"
2,cat,0.0011915393406525254,False,"[421, 206, 468, 258]"
2,scissors,0.0011872504837810993,True,"[390, 532, 441, 580]"
