Source_Image,Object_Type,Confidence,Is_Evidence_Class,Box
generate_scene,person,0.9470272064208984,True,"[234, 276, 2296, 840]"
generate_scene,suitcase,0.9292218685150146,True,"[1680, 616, 2706, 1315]"
generate_scene,knife,0.8786247372627258,True,"[1152, 992, 1553, 1370]"
generate_scene,bottle,0.16313445568084717,True,"[1650, 980, 1967, 1358]"
generate_scene,cell phone,0.12070375680923462,True,"[217, 947, 328, 1025]"
generate_scene,suitcase,0.037081278860569,True,"[1585, 859, 2807, 1521]"
generate_scene,book,0.01638362556695938,True,"[2466, 442, 2773, 531]"
generate_scene,tv,0.008859648369252682,False,"[2681, 5, 2814, 505]"
generate_scene,refrigerator,0.006005525588989258,False,"[2680, 5, 2814, 508]"
generate_scene,book,0.003989082761108875,True,"[94, 340, 558, 418]"
generate_scene,book,0.003963124472647905,True,"[2491, 421, 2686, 478]"
generate_scene,remote,0.0018336967332288623,False,"[568, 672, 650, 711]"
generate_scene,book,0.0016114026075229049,True,"[2270, 493, 2351, 569]"
generate_scene,book,0.0015187474200502038,True,"[1463, 686, 1536, 750]"
generate_scene,suitcase,0.0014856967609375715,True,"[261, 561, 2807, 1527]"
generate_scene,book,0.0013295840471982956,True,"[290, 341, 556, 406]"
generate_scene,remote,0.00127349270042032,False,"[2682, 1263, 2801, 1415]"
